233	256	279	302	325	348	371	394	417	440	1	24	47	70	93	116	139	162	185	208	231	
255	278	301	324	347	370	393	416	439	21	23	46	69	92	115	138	161	184	207	230	232	
277	300	323	346	369	392	415	438	20	22	45	68	91	114	137	160	183	206	229	252	254	
299	322	345	368	391	414	437	19	42	44	67	90	113	136	159	182	205	228	251	253	276	
321	344	367	390	413	436	18	41	43	66	89	112	135	158	181	204	227	250	273	275	298	
343	366	389	412	435	17	40	63	65	88	111	134	157	180	203	226	249	272	274	297	320	
365	388	411	434	16	39	62	64	87	110	133	156	179	202	225	248	271	294	296	319	342	
387	410	433	15	38	61	84	86	109	132	155	178	201	224	247	270	293	295	318	341	364	
409	432	14	37	60	83	85	108	131	154	177	200	223	246	269	292	315	317	340	363	386	
431	13	36	59	82	105	107	130	153	176	199	222	245	268	291	314	316	339	362	385	408	
12	35	58	81	104	106	129	152	175	198	221	244	267	290	313	336	338	361	384	407	430	
34	57	80	103	126	128	151	174	197	220	243	266	289	312	335	337	360	383	406	429	11	
56	79	102	125	127	150	173	196	219	242	265	288	311	334	357	359	382	405	428	10	33	
78	101	124	147	149	172	195	218	241	264	287	310	333	356	358	381	404	427	9	32	55	
100	123	146	148	171	194	217	240	263	286	309	332	355	378	380	403	426	8	31	54	77	
122	145	168	170	193	216	239	262	285	308	331	354	377	379	402	425	7	30	53	76	99	
144	167	169	192	215	238	261	284	307	330	353	376	399	401	424	6	29	52	75	98	121	
166	189	191	214	237	260	283	306	329	352	375	398	400	423	5	28	51	74	97	120	143	
188	190	213	236	259	282	305	328	351	374	397	422	4	27	50	73	96	119	142	165	
210	212	235	258	281	304	327	350	373	396	419	421	3	26	49	72	95	118	141	164	187	
211	234	257	280	303	326	349	372	395	418	441	2	25	48	71	94	117	140	163	186	209	
